-90,-180,AQ
-90,-179,AQ
-90,-178,AQ
-90,-177,AQ
-90,-176,AQ
-90,-175,AQ
-90,-174,AQ
-90,-173,AQ
-90,-172,AQ
-90,-171,AQ
-90,-170,AQ
-90,-169,AQ
-90,-168,AQ
-90,-167,AQ
-90,-166,AQ
-90,-165,AQ
-90,-164,AQ
-90,-163,AQ
-90,-162,AQ
-90,-161,AQ
-90,-160,AQ
-90,-159,AQ
-90,-158,AQ
-90,-157,AQ
-90,-156,AQ
-90,-155,AQ
-90,-154,AQ
-90,-153,AQ
-90,-152,AQ
-90,-151,AQ
-90,-150,AQ
-90,-149,AQ
-90,-148,AQ
-90,-147,AQ
-90,-146,AQ
-90,-145,AQ
-90,-144,AQ
-90,-143,AQ
-90,-142,AQ
-90,-141,AQ
-90,-140,AQ
-90,-139,AQ
-90,-138,AQ
-90,-137,AQ
-90,-136,AQ
-90,-135,AQ
-90,-134,AQ
-90,-133,AQ
-90,-132,AQ
-90,-131,AQ
-90,-130,AQ
-90,-129,AQ
-90,-128,AQ
-90,-127,AQ
-90,-126,AQ
-90,-125,AQ
-90,-124,AQ
-90,-123,AQ
-90,-122,AQ
-90,-121,AQ
-90,-120,AQ
-90,-119,AQ
-90,-118,AQ
-90,-117,AQ
-90,-116,AQ
-90,-115,AQ
-90,-114,AQ
-90,-113,AQ
-90,-112,AQ
-90,-111,AQ
-90,-110,AQ
-90,-109,AQ
-90,-108,AQ
-90,-107,AQ
-90,-106,AQ
-90,-105,AQ
-90,-104,AQ
-90,-103,AQ
-90,-102,AQ
-90,-101,AQ
-90,-100,AQ
-90,-99,AQ
-90,-98,AQ
-90,-97,AQ
-90,-96,AQ
-90,-95,AQ
-90,-94,AQ
-90,-93,AQ
-90,-92,AQ
-90,-91,AQ
-90,-90,AQ
-90,-89,AQ
-90,-88,AQ
-90,-87,AQ
-90,-86,AQ
-90,-85,AQ
-90,-84,AQ
-90,-83,AQ
-90,-82,AQ
-90,-81,AQ
-90,-80,AQ
-90,-79,AQ
-90,-78,AQ
-90,-77,AQ
-90,-76,AQ
-90,-75,AQ
-90,-74,AQ
-90,-73,AQ
-90,-72,AQ
-90,-71,AQ
-90,-70,AQ
-90,-69,AQ
-90,-68,AQ
-90,-67,AQ
-90,-66,AQ
-90,-65,AQ
-90,-64,AQ
-90,-63,AQ
-90,-62,AQ
-90,-61,AQ
-90,-60,AQ
-90,-59,AQ
-90,-58,AQ
-90,-57,AQ
-90,-56,AQ
-90,-55,AQ
-90,-54,AQ
-90,-53,AQ
-90,-52,AQ
